"MonthEnding","Country","DiagnosticTestType","DiagnosticTestDescription","NumberOnList","NumberOnListQF","NumberWaitingOverFourWeeks","NumberWaitingOverFourWeeksQF","NumberWaitingOverSixWeeks","NumberWaitingOverSixWeeksQF"
"20210831","S92000003","Endoscopy","Colonoscopy",13296,"",9157,"",8201,""
"20210930","S92000003","Endoscopy","Colonoscopy",13365,"",9409,"",8357,""
"20070930","S92000003","Endoscopy","Cystoscopy",1374,"",393,"",140,""
"20071231","S92000003","Endoscopy","Cystoscopy",1573,"",478,"",164,""
"20080131","S92000003","Endoscopy","Cystoscopy",1720,"",418,"",237,""
"20080229","S92000003","Endoscopy","Cystoscopy",1747,"",380,"",130,""
"20080331","S92000003","Endoscopy","Cystoscopy",1850,"",591,"",235,""
"20080430","S92000003","Endoscopy","Cystoscopy",1913,"",553,"",234,""
"20080531","S92000003","Endoscopy","Cystoscopy",1711,"",486,"",222,""
"20080630","S92000003","Endoscopy","Cystoscopy",1735,"",366,"",117,""
"20080731","S92000003","Endoscopy","Cystoscopy",1727,"",470,"",152,""
"20080831","S92000003","Endoscopy","Cystoscopy",1271,"",278,"",78,""
"20080930","S92000003","Endoscopy","Cystoscopy",1381,"",274,"",95,""
"20081031","S92000003","Endoscopy","Cystoscopy",1671,"",368,"",146,""
"20081130","S92000003","Endoscopy","Cystoscopy",1398,"",350,"",101,""
"20081231","S92000003","Endoscopy","Cystoscopy",1463,"",331,"",113,""
"20090131","S92000003","Endoscopy","Cystoscopy",1522,"",221,"",88,""
"20090228","S92000003","Endoscopy","Cystoscopy",1628,"",246,"",62,""
"20090331","S92000003","Endoscopy","Cystoscopy",1617,"",114,"",2,""
"20090430","S92000003","Endoscopy","Cystoscopy",1480,"",173,"",5,""
"20090531","S92000003","Endoscopy","Cystoscopy",1560,"",154,"",1,""
"20090630","S92000003","Endoscopy","Cystoscopy",1525,"",140,"",5,""
"20090731","S92000003","Endoscopy","Cystoscopy",1461,"",140,"",13,""
"20090831","S92000003","Endoscopy","Cystoscopy",1334,"",88,"",3,""
"20090930","S92000003","Endoscopy","Cystoscopy",1553,"",157,"",4,""
"20091031","S92000003","Endoscopy","Cystoscopy",1472,"",165,"",5,""
"20091130","S92000003","Endoscopy","Cystoscopy",1373,"",94,"",5,""
"20091231","S92000003","Endoscopy","Cystoscopy",1275,"",122,"",8,""
"20100131","S92000003","Endoscopy","Cystoscopy",1593,"",133,"",13,""
"20100228","S92000003","Endoscopy","Cystoscopy",1356,"",88,"",0,""
"20100331","S92000003","Endoscopy","Cystoscopy",1292,"",0,"",0,""
"20100430","S92000003","Endoscopy","Cystoscopy",1278,"",23,"",2,""
"20100531","S92000003","Endoscopy","Cystoscopy",1299,"",23,"",5,""
"20100630","S92000003","Endoscopy","Cystoscopy",1318,"",25,"",0,""
"20100731","S92000003","Endoscopy","Cystoscopy",1080,"",4,"",0,""
"20100831","S92000003","Endoscopy","Cystoscopy",1204,"",26,"",0,""
"20100930","S92000003","Endoscopy","Cystoscopy",1280,"",8,"",2,""
"20101031","S92000003","Endoscopy","Cystoscopy",1515,"",9,"",0,""
"20101130","S92000003","Endoscopy","Cystoscopy",1467,"",23,"",0,""
"20101231","S92000003","Endoscopy","Cystoscopy",1210,"",65,"",2,""
"20110131","S92000003","Endoscopy","Cystoscopy",1686,"",53,"",0,""
"20110228","S92000003","Endoscopy","Cystoscopy",1412,"",68,"",1,""
"20110331","S92000003","Endoscopy","Cystoscopy",1402,"",79,"",7,""
"20110430","S92000003","Endoscopy","Cystoscopy",1337,"",59,"",2,""
"20110531","S92000003","Endoscopy","Cystoscopy",1339,"",60,"",15,""
"20110630","S92000003","Endoscopy","Cystoscopy",1517,"",92,"",49,""
"20110731","S92000003","Endoscopy","Cystoscopy",1316,"",74,"",51,""
"20110831","S92000003","Endoscopy","Cystoscopy",1304,"",44,"",16,""
"20110930","S92000003","Endoscopy","Cystoscopy",1475,"",33,"",1,""
"20111031","S92000003","Endoscopy","Cystoscopy",1624,"",65,"",0,""
"20111130","S92000003","Endoscopy","Cystoscopy",1490,"",73,"",1,""
"20111231","S92000003","Endoscopy","Cystoscopy",1533,"",213,"",18,""
"20120131","S92000003","Endoscopy","Cystoscopy",1569,"",13,"",0,""
"20120229","S92000003","Endoscopy","Cystoscopy",1607,"",28,"",0,""
"20120331","S92000003","Endoscopy","Cystoscopy",1600,"",9,"",2,""
"20120430","S92000003","Endoscopy","Cystoscopy",1542,"",13,"",1,""
"20120531","S92000003","Endoscopy","Cystoscopy",1613,"",36,"",2,""
"20120630","S92000003","Endoscopy","Cystoscopy",1616,"",40,"",3,""
"20120731","S92000003","Endoscopy","Cystoscopy",1585,"",91,"",15,""
"20120831","S92000003","Endoscopy","Cystoscopy",1506,"",67,"",9,""
"20120930","S92000003","Endoscopy","Cystoscopy",1376,"",57,"",6,""
"20121031","S92000003","Endoscopy","Cystoscopy",1659,"",92,"",15,""
"20121130","S92000003","Endoscopy","Cystoscopy",1887,"",152,"",12,""
"20121231","S92000003","Endoscopy","Cystoscopy",1638,"",307,"",23,""
"20130131","S92000003","Endoscopy","Cystoscopy",1900,"",214,"",92,""
"20130228","S92000003","Endoscopy","Cystoscopy",2061,"",182,"",14,""
"20130331","S92000003","Endoscopy","Cystoscopy",2020,"",278,"",41,""
"20130430","S92000003","Endoscopy","Cystoscopy",2167,"",223,"",31,""
"20130531","S92000003","Endoscopy","Cystoscopy",2231,"",249,"",28,""
"20130630","S92000003","Endoscopy","Cystoscopy",2048,"",257,"",52,""
"20130731","S92000003","Endoscopy","Cystoscopy",1867,"",212,"",32,""
"20130831","S92000003","Endoscopy","Cystoscopy",1890,"",300,"",73,""
"20130930","S92000003","Endoscopy","Cystoscopy",1979,"",370,"",147,""
"20131031","S92000003","Endoscopy","Cystoscopy",2009,"",353,"",91,""
"20131130","S92000003","Endoscopy","Cystoscopy",2100,"",361,"",87,""
"20131231","S92000003","Endoscopy","Cystoscopy",1845,"",487,"",150,""
"20140131","S92000003","Endoscopy","Cystoscopy",2165,"",415,"",281,""
"20140228","S92000003","Endoscopy","Cystoscopy",2153,"",485,"",118,""
"20140331","S92000003","Endoscopy","Cystoscopy",2217,"",464,"",122,""
"20140430","S92000003","Endoscopy","Cystoscopy",2204,"",437,"",130,""
"20140531","S92000003","Endoscopy","Cystoscopy",2064,"",424,"",149,""
"20140630","S92000003","Endoscopy","Cystoscopy",2091,"",476,"",213,""
"20140731","S92000003","Endoscopy","Cystoscopy",1965,"",692,"",404,""
"20140831","S92000003","Endoscopy","Cystoscopy",2110,"",746,"",535,""
"20140930","S92000003","Endoscopy","Cystoscopy",2254,"",820,"",546,""
"20141031","S92000003","Endoscopy","Cystoscopy",2352,"",982,"",716,""
"20141130","S92000003","Endoscopy","Cystoscopy",2514,"",1002,"",700,""
"20141231","S92000003","Endoscopy","Cystoscopy",2382,"",994,"",680,""
"20150131","S92000003","Endoscopy","Cystoscopy",2322,"",801,"",660,""
"20150228","S92000003","Endoscopy","Cystoscopy",2320,"",710,"",431,""
"20150331","S92000003","Endoscopy","Cystoscopy",2078,"",615,"",361,""
"20150430","S92000003","Endoscopy","Cystoscopy",2053,"",598,"",343,""
"20150531","S92000003","Endoscopy","Cystoscopy",2039,"",615,"",324,""
"20150630","S92000003","Endoscopy","Cystoscopy",2151,"",687,"",388,""
"20150731","S92000003","Endoscopy","Cystoscopy",2162,"",761,"",508,""
"20150831","S92000003","Endoscopy","Cystoscopy",2337,"",785,"",571,""
"20150930","S92000003","Endoscopy","Cystoscopy",2433,"",858,"",595,""
"20151031","S92000003","Endoscopy","Cystoscopy",2353,"",906,"",664,""
"20151130","S92000003","Endoscopy","Cystoscopy",2100,"",470,"",288,""
"20151231","S92000003","Endoscopy","Cystoscopy",1791,"",369,"",165,""
"20160131","S92000003","Endoscopy","Cystoscopy",1852,"",399,"",206,""
"20160229","S92000003","Endoscopy","Cystoscopy",2014,"",410,"",161,""
"20160331","S92000003","Endoscopy","Cystoscopy",1828,"",342,"",164,""
"20160430","S92000003","Endoscopy","Cystoscopy",1870,"",487,"",211,""
"20160531","S92000003","Endoscopy","Cystoscopy",1988,"",507,"",241,""
"20160630","S92000003","Endoscopy","Cystoscopy",2180,"",578,"",272,""
"20160731","S92000003","Endoscopy","Cystoscopy",2189,"",730,"",355,""
"20160831","S92000003","Endoscopy","Cystoscopy",2403,"",669,"",331,""
"20160930","S92000003","Endoscopy","Cystoscopy",2406,"",726,"",324,""
"20161031","S92000003","Endoscopy","Cystoscopy",2451,"",821,"",440,""
"20161130","S92000003","Endoscopy","Cystoscopy",2449,"",861,"",520,""
"20161231","S92000003","Endoscopy","Cystoscopy",2596,"",1101,"",690,""
"20170131","S92000003","Endoscopy","Cystoscopy",2707,"",1214,"",948,""
"20170228","S92000003","Endoscopy","Cystoscopy",2795,"",1173,"",804,""
"20170331","S92000003","Endoscopy","Cystoscopy",2790,"",1252,"",894,""
"20170430","S92000003","Endoscopy","Cystoscopy",2948,"",1439,"",1036,""
"20170531","S92000003","Endoscopy","Cystoscopy",3112,"",1503,"",1107,""
"20170630","S92000003","Endoscopy","Cystoscopy",3262,"",1561,"",1200,""
"20170731","S92000003","Endoscopy","Cystoscopy",3151,"",1675,"",1300,""
"20170831","S92000003","Endoscopy","Cystoscopy",3334,"",1708,"",1397,""
"20170930","S92000003","Endoscopy","Cystoscopy",3412,"",1852,"",1458,""
"20171031","S92000003","Endoscopy","Cystoscopy",3766,"",2036,"",1657,""
"20171130","S92000003","Endoscopy","Cystoscopy",3852,"",2191,"",1826,""
"20171231","S92000003","Endoscopy","Cystoscopy",3960,"",2522,"",2025,""
"20180131","S92000003","Endoscopy","Cystoscopy",4064,"",2357,"",2174,""
"20180228","S92000003","Endoscopy","Cystoscopy",4293,"",2496,"",2051,""
"20180331","S92000003","Endoscopy","Cystoscopy",4357,"",2700,"",2289,""
"20180430","S92000003","Endoscopy","Cystoscopy",4434,"",2698,"",2301,""
"20180531","S92000003","Endoscopy","Cystoscopy",4717,"",2895,"",2407,""
"20180630","S92000003","Endoscopy","Cystoscopy",4569,"",2910,"",2393,""
"20180731","S92000003","Endoscopy","Cystoscopy",4300,"",2651,"",2157,""
"20180831","S92000003","Endoscopy","Cystoscopy",4029,"",2185,"",1758,""
"20180930","S92000003","Endoscopy","Cystoscopy",3706,"",1925,"",1411,""
"20181031","S92000003","Endoscopy","Cystoscopy",3266,"",1498,"",1071,""
"20181130","S92000003","Endoscopy","Cystoscopy",3073,"",1255,"",860,""
"20181231","S92000003","Endoscopy","Cystoscopy",3098,"",1542,"",1042,""
"20190131","S92000003","Endoscopy","Cystoscopy",3251,"",1446,"",1212,""
"20190228","S92000003","Endoscopy","Cystoscopy",3369,"",1483,"",987,""
"20190331","S92000003","Endoscopy","Cystoscopy",3303,"",1598,"",1028,""
"20190430","S92000003","Endoscopy","Cystoscopy",3096,"",1531,"",1062,""
"20190531","S92000003","Endoscopy","Cystoscopy",2971,"",1479,"",1080,""
"20190630","S92000003","Endoscopy","Cystoscopy",3012,"",1470,"",1078,""
"20190731","S92000003","Endoscopy","Cystoscopy",2615,"",1241,"",901,""
"20190831","S92000003","Endoscopy","Cystoscopy",2484,"",1170,"",787,""
"20190930","S92000003","Endoscopy","Cystoscopy",2573,"",1115,"",820,""
"20191031","S92000003","Endoscopy","Cystoscopy",2503,"",1232,"",912,""
"20191130","S92000003","Endoscopy","Cystoscopy",2625,"",1133,"",864,""
"20191231","S92000003","Endoscopy","Cystoscopy",2690,"",1367,"",928,""
"20200131","S92000003","Endoscopy","Cystoscopy",2683,"",1184,"",988,""
"20200229","S92000003","Endoscopy","Cystoscopy",2804,"",1282,"",884,""
"20200331","S92000003","Endoscopy","Cystoscopy",2871,"",1740,"",1239,""
"20200430","S92000003","Endoscopy","Cystoscopy",3031,"",2545,"",2250,""
"20200531","S92000003","Endoscopy","Cystoscopy",3383,"",2641,"",2443,""
"20200630","S92000003","Endoscopy","Cystoscopy",3603,"",2616,"",2395,""
"20200731","S92000003","Endoscopy","Cystoscopy",3573,"",2656,"",2372,""
"20200831","S92000003","Endoscopy","Cystoscopy",3589,"",2468,"",2215,""
"20200930","S92000003","Endoscopy","Cystoscopy",3785,"",2579,"",2215,""
"20201031","S92000003","Endoscopy","Cystoscopy",3807,"",2549,"",2252,""
"20201130","S92000003","Endoscopy","Cystoscopy",3928,"",2683,"",2347,""
"20201231","S92000003","Endoscopy","Cystoscopy",4111,"",2864,"",2490,""
"20210131","S92000003","Endoscopy","Cystoscopy",4317,"",3010,"",2690,""
"20210228","S92000003","Endoscopy","Cystoscopy",4440,"",3115,"",2693,""
"20210331","S92000003","Endoscopy","Cystoscopy",4582,"",3178,"",2817,""
"20210430","S92000003","Endoscopy","Cystoscopy",4566,"",3175,"",2830,""
"20210531","S92000003","Endoscopy","Cystoscopy",4559,"",3156,"",2750,""
"20210630","S92000003","Endoscopy","Cystoscopy",4582,"",3111,"",2755,""
"20210731","S92000003","Endoscopy","Cystoscopy",4558,"",3343,"",2874,""
"20210831","S92000003","Endoscopy","Cystoscopy",4586,"",3172,"",2812,""
"20210930","S92000003","Endoscopy","Cystoscopy",5005,"",3624,"",3123,""
"20070930","S92000003","Endoscopy","Lower Endoscopy",1931,"",643,"",230,""
"20071231","S92000003","Endoscopy","Lower Endoscopy",2214,"",876,"",331,""
"20080131","S92000003","Endoscopy","Lower Endoscopy",2195,"",726,"",394,""
"20080229","S92000003","Endoscopy","Lower Endoscopy",2030,"",670,"",272,""
"20080331","S92000003","Endoscopy","Lower Endoscopy",2015,"",664,"",249,""
"20080430","S92000003","Endoscopy","Lower Endoscopy",2114,"",739,"",330,""
"20080531","S92000003","Endoscopy","Lower Endoscopy",2143,"",702,"",261,""
"20080630","S92000003","Endoscopy","Lower Endoscopy",2028,"",623,"",244,""
"20080731","S92000003","Endoscopy","Lower Endoscopy",1936,"",642,"",220,""
"20080831","S92000003","Endoscopy","Lower Endoscopy",1731,"",430,"",181,""
"20080930","S92000003","Endoscopy","Lower Endoscopy",1670,"",520,"",193,""
"20081031","S92000003","Endoscopy","Lower Endoscopy",2248,"",561,"",203,""
"20081130","S92000003","Endoscopy","Lower Endoscopy",1819,"",534,"",221,""
"20081231","S92000003","Endoscopy","Lower Endoscopy",1946,"",529,"",200,""
"20090131","S92000003","Endoscopy","Lower Endoscopy",2035,"",415,"",222,""
"20090228","S92000003","Endoscopy","Lower Endoscopy",1937,"",389,"",97,""
"20090331","S92000003","Endoscopy","Lower Endoscopy",1680,"",152,"",0,""
"20090430","S92000003","Endoscopy","Lower Endoscopy",1807,"",210,"",0,""
"20090531","S92000003","Endoscopy","Lower Endoscopy",2002,"",347,"",2,""
"20090630","S92000003","Endoscopy","Lower Endoscopy",1937,"",231,"",1,""
"20090731","S92000003","Endoscopy","Lower Endoscopy",1921,"",249,"",5,""
"20090831","S92000003","Endoscopy","Lower Endoscopy",1886,"",249,"",1,""
"20090930","S92000003","Endoscopy","Lower Endoscopy",1464,"",206,"",1,""
"20091031","S92000003","Endoscopy","Lower Endoscopy",1667,"",284,"",2,""
"20091130","S92000003","Endoscopy","Lower Endoscopy",1462,"",184,"",3,""
"20091231","S92000003","Endoscopy","Lower Endoscopy",1455,"",171,"",2,""
"20100131","S92000003","Endoscopy","Lower Endoscopy",1539,"",203,"",5,""
"20100228","S92000003","Endoscopy","Lower Endoscopy",1568,"",183,"",0,""
"20100331","S92000003","Endoscopy","Lower Endoscopy",1498,"",5,"",0,""
"20100430","S92000003","Endoscopy","Lower Endoscopy",1506,"",31,"",9,""
"20100531","S92000003","Endoscopy","Lower Endoscopy",1501,"",10,"",2,""
"20100630","S92000003","Endoscopy","Lower Endoscopy",1639,"",5,"",0,""
"20100731","S92000003","Endoscopy","Lower Endoscopy",1893,"",5,"",0,""
"20100831","S92000003","Endoscopy","Lower Endoscopy",1426,"",4,"",0,""
"20100930","S92000003","Endoscopy","Lower Endoscopy",1523,"",64,"",11,""
"20101031","S92000003","Endoscopy","Lower Endoscopy",1575,"",102,"",62,""
"20101130","S92000003","Endoscopy","Lower Endoscopy",1593,"",169,"",92,""
"20101231","S92000003","Endoscopy","Lower Endoscopy",1557,"",260,"",149,""
"20110131","S92000003","Endoscopy","Lower Endoscopy",1700,"",215,"",170,""
"20110228","S92000003","Endoscopy","Lower Endoscopy",1568,"",209,"",123,""
"20110331","S92000003","Endoscopy","Lower Endoscopy",1599,"",130,"",74,""
"20110430","S92000003","Endoscopy","Lower Endoscopy",1592,"",130,"",54,""
"20110531","S92000003","Endoscopy","Lower Endoscopy",1619,"",29,"",2,""
"20110630","S92000003","Endoscopy","Lower Endoscopy",1534,"",102,"",60,""
"20110731","S92000003","Endoscopy","Lower Endoscopy",1724,"",92,"",16,""
"20110831","S92000003","Endoscopy","Lower Endoscopy",1693,"",150,"",25,""
"20110930","S92000003","Endoscopy","Lower Endoscopy",1717,"",102,"",9,""
"20111031","S92000003","Endoscopy","Lower Endoscopy",1723,"",90,"",8,""
"20111130","S92000003","Endoscopy","Lower Endoscopy",1872,"",144,"",24,""
"20111231","S92000003","Endoscopy","Lower Endoscopy",1645,"",171,"",18,""
"20120131","S92000003","Endoscopy","Lower Endoscopy",1468,"",95,"",27,""
"20120229","S92000003","Endoscopy","Lower Endoscopy",1625,"",45,"",7,""
"20120331","S92000003","Endoscopy","Lower Endoscopy",1598,"",98,"",5,""
"20120430","S92000003","Endoscopy","Lower Endoscopy",1663,"",190,"",39,""
"20120531","S92000003","Endoscopy","Lower Endoscopy",1671,"",205,"",46,""
"20120630","S92000003","Endoscopy","Lower Endoscopy",1581,"",210,"",44,""
"20120731","S92000003","Endoscopy","Lower Endoscopy",1439,"",217,"",42,""
"20120831","S92000003","Endoscopy","Lower Endoscopy",1665,"",318,"",169,""
"20120930","S92000003","Endoscopy","Lower Endoscopy",1862,"",369,"",183,""
"20121031","S92000003","Endoscopy","Lower Endoscopy",1890,"",424,"",270,""
"20121130","S92000003","Endoscopy","Lower Endoscopy",1953,"",486,"",285,""
"20121231","S92000003","Endoscopy","Lower Endoscopy",1724,"",430,"",279,""
"20130131","S92000003","Endoscopy","Lower Endoscopy",1768,"",369,"",287,""
"20130228","S92000003","Endoscopy","Lower Endoscopy",1673,"",321,"",165,""
"20130331","S92000003","Endoscopy","Lower Endoscopy",1766,"",351,"",183,""
"20130430","S92000003","Endoscopy","Lower Endoscopy",1694,"",307,"",169,""
"20130531","S92000003","Endoscopy","Lower Endoscopy",1680,"",257,"",104,""
"20130630","S92000003","Endoscopy","Lower Endoscopy",1644,"",217,"",71,""
"20130731","S92000003","Endoscopy","Lower Endoscopy",1535,"",199,"",58,""
"20130831","S92000003","Endoscopy","Lower Endoscopy",1518,"",125,"",41,""
"20130930","S92000003","Endoscopy","Lower Endoscopy",1565,"",157,"",45,""
"20131031","S92000003","Endoscopy","Lower Endoscopy",1677,"",207,"",72,""
"20131130","S92000003","Endoscopy","Lower Endoscopy",1786,"",251,"",114,""
"20131231","S92000003","Endoscopy","Lower Endoscopy",1885,"",370,"",186,""
"20140131","S92000003","Endoscopy","Lower Endoscopy",2024,"",324,"",245,""
"20140228","S92000003","Endoscopy","Lower Endoscopy",2016,"",380,"",204,""
"20140331","S92000003","Endoscopy","Lower Endoscopy",2059,"",657,"",311,""
"20140430","S92000003","Endoscopy","Lower Endoscopy",2049,"",731,"",458,""
"20140531","S92000003","Endoscopy","Lower Endoscopy",2120,"",648,"",460,""
"20140630","S92000003","Endoscopy","Lower Endoscopy",1931,"",667,"",466,""
"20140731","S92000003","Endoscopy","Lower Endoscopy",2107,"",758,"",550,""
"20140831","S92000003","Endoscopy","Lower Endoscopy",2030,"",698,"",503,""
"20140930","S92000003","Endoscopy","Lower Endoscopy",2115,"",692,"",447,""
"20141031","S92000003","Endoscopy","Lower Endoscopy",2285,"",740,"",444,""
"20141130","S92000003","Endoscopy","Lower Endoscopy",2282,"",833,"",490,""
"20141231","S92000003","Endoscopy","Lower Endoscopy",2279,"",917,"",658,""
"20150131","S92000003","Endoscopy","Lower Endoscopy",2525,"",988,"",796,""
"20150228","S92000003","Endoscopy","Lower Endoscopy",2479,"",990,"",641,""
"20150331","S92000003","Endoscopy","Lower Endoscopy",2717,"",1260,"",888,""
"20150430","S92000003","Endoscopy","Lower Endoscopy",2851,"",1445,"",1051,""
"20150531","S92000003","Endoscopy","Lower Endoscopy",2885,"",1452,"",1070,""
"20150630","S92000003","Endoscopy","Lower Endoscopy",2570,"",1230,"",933,""
"20150731","S92000003","Endoscopy","Lower Endoscopy",2455,"",1237,"",1053,""
"20150831","S92000003","Endoscopy","Lower Endoscopy",2325,"",1069,"",884,""
"20150930","S92000003","Endoscopy","Lower Endoscopy",2060,"",883,"",719,""
"20151031","S92000003","Endoscopy","Lower Endoscopy",1769,"",606,"",443,""
"20151130","S92000003","Endoscopy","Lower Endoscopy",1707,"",491,"",311,""
"20151231","S92000003","Endoscopy","Lower Endoscopy",1701,"",543,"",346,""
"20160131","S92000003","Endoscopy","Lower Endoscopy",1653,"",572,"",452,""
"20160229","S92000003","Endoscopy","Lower Endoscopy",1719,"",513,"",296,""
"20160331","S92000003","Endoscopy","Lower Endoscopy",1751,"",513,"",345,""
"20160430","S92000003","Endoscopy","Lower Endoscopy",1682,"",550,"",348,""
"20160531","S92000003","Endoscopy","Lower Endoscopy",1725,"",535,"",348,""
"20160630","S92000003","Endoscopy","Lower Endoscopy",1603,"",499,"",317,""
"20160731","S92000003","Endoscopy","Lower Endoscopy",1738,"",611,"",351,""
"20160831","S92000003","Endoscopy","Lower Endoscopy",1916,"",737,"",503,""
"20160930","S92000003","Endoscopy","Lower Endoscopy",2025,"",873,"",603,""
"20161031","S92000003","Endoscopy","Lower Endoscopy",2026,"",867,"",607,""
"20161130","S92000003","Endoscopy","Lower Endoscopy",2046,"",809,"",572,""
"20161231","S92000003","Endoscopy","Lower Endoscopy",1971,"",845,"",570,""
"20170131","S92000003","Endoscopy","Lower Endoscopy",1965,"",803,"",654,""
"20170228","S92000003","Endoscopy","Lower Endoscopy",2077,"",848,"",561,""
"20170331","S92000003","Endoscopy","Lower Endoscopy",2220,"",914,"",617,""
"20170430","S92000003","Endoscopy","Lower Endoscopy",2172,"",1055,"",763,""
"20170531","S92000003","Endoscopy","Lower Endoscopy",2177,"",1013,"",768,""
"20170630","S92000003","Endoscopy","Lower Endoscopy",2209,"",1152,"",864,""
"20170731","S92000003","Endoscopy","Lower Endoscopy",2332,"",1220,"",917,""
"20170831","S92000003","Endoscopy","Lower Endoscopy",2277,"",1177,"",950,""
"20170930","S92000003","Endoscopy","Lower Endoscopy",2463,"",1346,"",1035,""
"20171031","S92000003","Endoscopy","Lower Endoscopy",2596,"",1354,"",1062,""
"20171130","S92000003","Endoscopy","Lower Endoscopy",2549,"",1298,"",1018,""
"20171231","S92000003","Endoscopy","Lower Endoscopy",2584,"",1466,"",1129,""
"20180131","S92000003","Endoscopy","Lower Endoscopy",2563,"",1365,"",1194,""
"20180228","S92000003","Endoscopy","Lower Endoscopy",2619,"",1397,"",1092,""
"20180331","S92000003","Endoscopy","Lower Endoscopy",2789,"",1527,"",1192,""
"20180430","S92000003","Endoscopy","Lower Endoscopy",2677,"",1504,"",1174,""
"20180531","S92000003","Endoscopy","Lower Endoscopy",2794,"",1541,"",1159,""
"20180630","S92000003","Endoscopy","Lower Endoscopy",2913,"",1621,"",1306,""
"20180731","S92000003","Endoscopy","Lower Endoscopy",2809,"",1657,"",1306,""
"20180831","S92000003","Endoscopy","Lower Endoscopy",2856,"",1598,"",1323,""
"20180930","S92000003","Endoscopy","Lower Endoscopy",2981,"",1818,"",1434,""
"20181031","S92000003","Endoscopy","Lower Endoscopy",3048,"",1789,"",1471,""
"20181130","S92000003","Endoscopy","Lower Endoscopy",3184,"",1839,"",1482,""
"20181231","S92000003","Endoscopy","Lower Endoscopy",3269,"",2006,"",1619,""
"20190131","S92000003","Endoscopy","Lower Endoscopy",3261,"",2000,"",1774,""
"20190228","S92000003","Endoscopy","Lower Endoscopy",3210,"",1894,"",1527,""
"20190331","S92000003","Endoscopy","Lower Endoscopy",2977,"",1776,"",1410,""
"20190430","S92000003","Endoscopy","Lower Endoscopy",2814,"",1679,"",1341,""
"20190531","S92000003","Endoscopy","Lower Endoscopy",2460,"",1315,"",1025,""
"20190630","S92000003","Endoscopy","Lower Endoscopy",2335,"",1199,"",859,""
"20190731","S92000003","Endoscopy","Lower Endoscopy",2241,"",1099,"",825,""
"20190831","S92000003","Endoscopy","Lower Endoscopy",2147,"",969,"",732,""
"20190930","S92000003","Endoscopy","Lower Endoscopy",2147,"",983,"",687,""
"20191031","S92000003","Endoscopy","Lower Endoscopy",2155,"",973,"",664,""
"20191130","S92000003","Endoscopy","Lower Endoscopy",2181,"",926,"",658,""
"20191231","S92000003","Endoscopy","Lower Endoscopy",2235,"",1030,"",705,""
"20200131","S92000003","Endoscopy","Lower Endoscopy",2140,"",928,"",776,""
"20200229","S92000003","Endoscopy","Lower Endoscopy",2248,"",995,"",671,""
"20200331","S92000003","Endoscopy","Lower Endoscopy",2406,"",1421,"",982,""
"20200430","S92000003","Endoscopy","Lower Endoscopy",2651,"",2349,"",2044,""
"20200531","S92000003","Endoscopy","Lower Endoscopy",2946,"",2561,"",2425,""
"20200630","S92000003","Endoscopy","Lower Endoscopy",3269,"",2744,"",2536,""
"20200731","S92000003","Endoscopy","Lower Endoscopy",3645,"",2983,"",2767,""
"20200831","S92000003","Endoscopy","Lower Endoscopy",3926,"",3239,"",3022,""
"20200930","S92000003","Endoscopy","Lower Endoscopy",4049,"",3363,"",3075,""
"20201031","S92000003","Endoscopy","Lower Endoscopy",3949,"",3222,"",3007,""
"20201130","S92000003","Endoscopy","Lower Endoscopy",3813,"",2988,"",2788,""
"20201231","S92000003","Endoscopy","Lower Endoscopy",3843,"",3092,"",2803,""
"20210131","S92000003","Endoscopy","Lower Endoscopy",3855,"",3090,"",2912,""
"20210228","S92000003","Endoscopy","Lower Endoscopy",4105,"",3270,"",3008,""
"20210331","S92000003","Endoscopy","Lower Endoscopy",4185,"",3311,"",3041,""
"20210430","S92000003","Endoscopy","Lower Endoscopy",4376,"",3487,"",3190,""
"20210531","S92000003","Endoscopy","Lower Endoscopy",4346,"",3528,"",3217,""
"20210630","S92000003","Endoscopy","Lower Endoscopy",4326,"",3380,"",3129,""
"20210731","S92000003","Endoscopy","Lower Endoscopy",4263,"",3465,"",3182,""
"20210831","S92000003","Endoscopy","Lower Endoscopy",4242,"",3372,"",3131,""
"20210930","S92000003","Endoscopy","Lower Endoscopy",4093,"",3337,"",3077,""
"20070930","S92000003","Endoscopy","Upper Endoscopy",3421,"",976,"",361,""
"20071231","S92000003","Endoscopy","Upper Endoscopy",3247,"",985,"",333,""
"20080131","S92000003","Endoscopy","Upper Endoscopy",3824,"",1056,"",561,""
"20080229","S92000003","Endoscopy","Upper Endoscopy",3782,"",1016,"",339,""
"20080331","S92000003","Endoscopy","Upper Endoscopy",4210,"",1346,"",502,""
"20080430","S92000003","Endoscopy","Upper Endoscopy",4132,"",1051,"",445,""
"20080531","S92000003","Endoscopy","Upper Endoscopy",3820,"",1034,"",374,""
"20080630","S92000003","Endoscopy","Upper Endoscopy",3780,"",882,"",349,""
"20080731","S92000003","Endoscopy","Upper Endoscopy",3664,"",985,"",344,""
"20080831","S92000003","Endoscopy","Upper Endoscopy",3566,"",722,"",284,""
"20080930","S92000003","Endoscopy","Upper Endoscopy",3214,"",788,"",267,""
"20081031","S92000003","Endoscopy","Upper Endoscopy",3646,"",952,"",320,""
"20081130","S92000003","Endoscopy","Upper Endoscopy",3185,"",821,"",319,""
"20081231","S92000003","Endoscopy","Upper Endoscopy",3213,"",870,"",330,""
