Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic
2014Q2,S08000030,Ovarian,2,2,9,0
2014Q2,S08000030,Upper GI,134,134,9,0
2014Q2,S08000030,Urological,210,190,9,0
2014Q2,S08000031,Breast,698,642,9,0
2014Q2,S08000031,Cervical,34,34,9,0
2014Q2,S08000031,Colorectal,410,398,9,0
2014Q2,S08000031,Head & Neck,140,126,9,0
2014Q2,S08000031,Lung,586,582,9,0
2014Q2,S08000031,Lymphoma,126,126,9,0
2014Q2,S08000031,Melanoma,134,134,9,0
2014Q2,S08000031,Ovarian,36,36,9,0
2014Q2,S08000031,Upper GI,254,250,9,0
2014Q2,S08000031,Urological,582,514,9,0
2014Q2,S08000032,Breast,184,182,9,0
2014Q2,S08000032,Cervical,18,18,9,0
2014Q2,S08000032,Colorectal,172,170,9,0
2014Q2,S08000032,Head & Neck,60,54,9,0
2014Q2,S08000032,Lung,248,246,9,0
2014Q2,S08000032,Lymphoma,50,50,9,0
2014Q2,S08000032,Melanoma,62,60,9,0
2014Q2,S08000032,Ovarian,28,28,9,0
2014Q2,S08000032,Upper GI,128,128,9,0
2014Q2,S08000032,Urological,232,206,9,0
2014Q3,S08000015,Breast,208,208,10,0
2014Q3,S08000015,Cervical,24,24,10,0
2014Q3,S08000015,Colorectal,126,124,10,0
2014Q3,S08000015,Head & Neck,38,38,10,0
2014Q3,S08000015,Lung,154,154,10,0
2014Q3,S08000015,Lymphoma,34,34,10,0
2014Q3,S08000015,Melanoma,50,50,10,0
2014Q3,S08000015,Ovarian,24,24,10,0
2014Q3,S08000015,Upper GI,98,98,10,0
2014Q3,S08000015,Urological,210,198,10,0
2014Q3,S08000016,Breast,20,20,10,0
2014Q3,S08000016,Cervical,2,2,10,0
2014Q3,S08000016,Colorectal,46,46,10,0
2014Q3,S08000016,Head & Neck,4,4,10,0
2014Q3,S08000016,Lung,54,54,10,0
2014Q3,S08000016,Lymphoma,8,8,10,0
2014Q3,S08000016,Melanoma,14,14,10,0
2014Q3,S08000016,Ovarian,4,4,10,0
2014Q3,S08000016,Upper GI,34,34,10,0
2014Q3,S08000016,Urological,64,62,10,0
2014Q3,S08000017,Breast,48,48,10,0
2014Q3,S08000017,Cervical,6,6,10,0
2014Q3,S08000017,Colorectal,62,62,10,0
2014Q3,S08000017,Head & Neck,10,8,10,0
2014Q3,S08000017,Lung,94,94,10,0
2014Q3,S08000017,Lymphoma,10,10,10,0
2014Q3,S08000017,Melanoma,32,32,10,0
2014Q3,S08000017,Ovarian,10,10,10,0
2014Q3,S08000017,Upper GI,52,52,10,0
2014Q3,S08000017,Urological,110,108,10,0
2014Q3,S08000019,Breast,84,82,10,0
2014Q3,S08000019,Cervical,6,6,10,0
2014Q3,S08000019,Colorectal,86,80,10,0
2014Q3,S08000019,Head & Neck,32,28,10,0
2014Q3,S08000019,Lung,130,128,10,0
2014Q3,S08000019,Lymphoma,20,20,10,0
2014Q3,S08000019,Melanoma,20,18,10,0
2014Q3,S08000019,Ovarian,10,10,10,0
2014Q3,S08000019,Upper GI,46,46,10,0
2014Q3,S08000019,Urological,138,136,10,0
2014Q3,S08000020,Breast,184,182,10,0
2014Q3,S08000020,Cervical,10,10,10,0
2014Q3,S08000020,Colorectal,162,154,10,0
2014Q3,S08000020,Head & Neck,72,68,10,0
2014Q3,S08000020,Lung,206,206,10,0
2014Q3,S08000020,Lymphoma,20,20,10,0
2014Q3,S08000020,Melanoma,72,72,10,0
2014Q3,S08000020,Ovarian,30,30,10,0
2014Q3,S08000020,Upper GI,140,140,10,0
2014Q3,S08000020,Urological,168,132,10,0
2014Q3,S08000022,Breast,136,132,10,0
2014Q3,S08000022,Cervical,2,2,10,0
2014Q3,S08000022,Colorectal,78,78,10,0
2014Q3,S08000022,Head & Neck,34,34,10,0
2014Q3,S08000022,Lung,56,54,10,0
2014Q3,S08000022,Lymphoma,34,34,10,0
2014Q3,S08000022,Melanoma,40,36,10,0
2014Q3,S08000022,Ovarian,14,14,10,0
2014Q3,S08000022,Upper GI,94,90,10,0
2014Q3,S08000022,Urological,162,128,10,0
2014Q3,S08000024,Breast,458,458,10,0
2014Q3,S08000024,Cervical,52,50,10,0
2014Q3,S08000024,Colorectal,208,206,10,0
2014Q3,S08000024,Head & Neck,72,66,10,0
2014Q3,S08000024,Lung,310,310,10,0
2014Q3,S08000024,Lymphoma,72,72,10,0
2014Q3,S08000024,Melanoma,102,102,10,0
2014Q3,S08000024,Ovarian,26,26,10,0
2014Q3,S08000024,Upper GI,94,94,10,0
2014Q3,S08000024,Urological,350,332,10,0
2014Q3,S08000025,Breast,6,6,10,0
2014Q3,S08000025,Colorectal,4,4,10,0
2014Q3,S08000025,Lymphoma,2,2,10,0
2014Q3,S08000025,Upper GI,6,6,10,0
2014Q3,S08000025,Urological,4,4,10,0
2014Q3,S08000026,Breast,2,2,10,0
2014Q3,S08000026,Colorectal,8,8,10,0
2014Q3,S08000026,Head & Neck,2,2,10,0
2014Q3,S08000026,Lung,4,4,10,0
2014Q3,S08000026,Melanoma,2,2,10,0
2014Q3,S08000026,Upper GI,4,4,10,0
2014Q3,S08000026,Urological,16,16,10,0
2014Q3,S08000028,Breast,2,2,10,0
2014Q3,S08000028,Colorectal,14,14,10,0
2014Q3,S08000028,Head & Neck,4,4,10,0
2014Q3,S08000028,Lung,14,14,10,0
2014Q3,S08000028,Melanoma,2,2,10,0
2014Q3,S08000028,Ovarian,2,2,10,0
2014Q3,S08000028,Upper GI,4,4,10,0
2014Q3,S08000029,Breast,86,86,10,0
2014Q3,S08000029,Cervical,6,6,10,0
2014Q3,S08000029,Colorectal,110,110,10,0
2014Q3,S08000029,Head & Neck,24,22,10,0
2014Q3,S08000029,Lung,130,130,10,0
2014Q3,S08000029,Lymphoma,36,36,10,0
2014Q3,S08000029,Melanoma,12,12,10,0
2014Q3,S08000029,Ovarian,14,14,10,0
2014Q3,S08000029,Upper GI,52,52,10,0
2014Q3,S08000029,Urological,206,182,10,0
2014Q3,S08000030,Breast,192,192,10,0
2014Q3,S08000030,Cervical,18,18,10,0
2014Q3,S08000030,Colorectal,146,142,10,0
2014Q3,S08000030,Head & Neck,44,42,10,0
2014Q3,S08000030,Lung,190,188,10,0
2014Q3,S08000030,Melanoma,60,56,10,0
2014Q3,S08000030,Upper GI,148,148,10,0
2014Q3,S08000030,Urological,264,248,10,0
2014Q3,S08000031,Breast,732,662,10,0
2014Q3,S08000031,Cervical,16,16,10,0
2014Q3,S08000031,Colorectal,460,446,10,0
2014Q3,S08000031,Head & Neck,166,166,10,0
2014Q3,S08000031,Lung,666,666,10,0
2014Q3,S08000031,Lymphoma,144,144,10,0
2014Q3,S08000031,Melanoma,152,152,10,0
2014Q3,S08000031,Ovarian,48,48,10,0
2014Q3,S08000031,Upper GI,262,254,10,0
2014Q3,S08000031,Urological,568,500,10,0
2014Q3,S08000032,Breast,154,152,10,0
2014Q3,S08000032,Cervical,14,14,10,0
2014Q3,S08000032,Colorectal,160,160,10,0
2014Q3,S08000032,Head & Neck,64,64,10,0
2014Q3,S08000032,Lung,218,218,10,0
2014Q3,S08000032,Lymphoma,52,52,10,0
2014Q3,S08000032,Melanoma,54,54,10,0
2014Q3,S08000032,Ovarian,18,18,10,0
2014Q3,S08000032,Upper GI,84,84,10,0
2014Q3,S08000032,Urological,200,188,10,0
2014Q4,S08000015,Breast,208,208,11,0
2014Q4,S08000015,Cervical,4,4,11,0
2014Q4,S08000015,Colorectal,100,98,11,0
2014Q4,S08000015,Head & Neck,40,38,11,0
2014Q4,S08000015,Lung,158,158,11,0
2014Q4,S08000015,Lymphoma,30,30,11,0
2014Q4,S08000015,Melanoma,40,40,11,0
2014Q4,S08000015,Ovarian,18,18,11,0
2014Q4,S08000015,Upper GI,98,98,11,0
2014Q4,S08000015,Urological,182,178,11,0
2014Q4,S08000016,Breast,44,44,11,0
2014Q4,S08000016,Cervical,2,2,11,0
2014Q4,S08000016,Colorectal,26,26,11,0
2014Q4,S08000016,Head & Neck,6,6,11,0
2014Q4,S08000016,Lung,56,56,11,0
2014Q4,S08000016,Lymphoma,12,12,11,0
2014Q4,S08000016,Melanoma,20,20,11,0
2014Q4,S08000016,Ovarian,16,16,11,0
2014Q4,S08000016,Upper GI,46,46,11,0
2014Q4,S08000016,Urological,54,46,11,0
2014Q4,S08000017,Breast,38,38,11,0
2014Q4,S08000017,Cervical,2,2,11,0
2014Q4,S08000017,Colorectal,44,44,11,0
2014Q4,S08000017,Head & Neck,14,14,11,0
2014Q4,S08000017,Lung,82,82,11,0
2014Q4,S08000017,Lymphoma,30,30,11,0
2014Q4,S08000017,Melanoma,22,22,11,0
2014Q4,S08000017,Ovarian,6,6,11,0
2014Q4,S08000017,Upper GI,46,46,11,0
2014Q4,S08000017,Urological,120,112,11,0
2014Q4,S08000019,Breast,94,90,11,0
2014Q4,S08000019,Cervical,14,12,11,0
2014Q4,S08000019,Colorectal,90,90,11,0
2014Q4,S08000019,Head & Neck,22,22,11,0
2014Q4,S08000019,Lung,138,138,11,0
2014Q4,S08000019,Lymphoma,32,32,11,0
2014Q4,S08000019,Melanoma,30,28,11,0
2014Q4,S08000019,Ovarian,22,22,11,0
2014Q4,S08000019,Upper GI,64,64,11,0
2014Q4,S08000019,Urological,134,134,11,0
2014Q4,S08000020,Breast,204,202,11,0
2014Q4,S08000020,Cervical,20,20,11,0
2014Q4,S08000020,Colorectal,152,152,11,0
2014Q4,S08000020,Head & Neck,60,60,11,0
2014Q4,S08000020,Lung,202,200,11,0
2014Q4,S08000020,Lymphoma,22,22,11,0
2014Q4,S08000020,Melanoma,58,58,11,0
2014Q4,S08000020,Ovarian,32,30,11,0
2014Q4,S08000020,Upper GI,116,114,11,0
2014Q4,S08000020,Urological,162,152,11,0
2014Q4,S08000022,Breast,116,114,11,0
2014Q4,S08000022,Cervical,2,2,11,0
2014Q4,S08000022,Colorectal,76,74,11,0
2014Q4,S08000022,Head & Neck,28,28,11,0
2014Q4,S08000022,Lung,108,108,11,0
2014Q4,S08000022,Lymphoma,40,40,11,0
2014Q4,S08000022,Melanoma,30,24,11,0
2014Q4,S08000022,Ovarian,18,18,11,0
2014Q4,S08000022,Upper GI,58,56,11,0
2014Q4,S08000022,Urological,106,94,11,0
2014Q4,S08000024,Breast,464,464,11,0
2014Q4,S08000024,Cervical,38,36,11,0
2014Q4,S08000024,Colorectal,212,204,11,0
2014Q4,S08000024,Head & Neck,70,68,11,0
2014Q4,S08000024,Lung,340,340,11,0
2014Q4,S08000024,Lymphoma,62,62,11,0
2014Q4,S08000024,Melanoma,106,106,11,0
2014Q4,S08000024,Ovarian,28,26,11,0
2014Q4,S08000024,Upper GI,98,98,11,0
2014Q4,S08000024,Urological,294,274,11,0
2014Q4,S08000025,Breast,4,4,11,0
2014Q4,S08000025,Colorectal,2,2,11,0
2014Q4,S08000025,Head & Neck,2,2,11,0
2014Q4,S08000025,Lung,2,2,11,0
2014Q4,S08000025,Upper GI,2,2,11,0
2014Q4,S08000025,Urological,4,4,11,0
2014Q4,S08000026,Breast,12,12,11,0
2014Q4,S08000026,Colorectal,12,12,11,0
2014Q4,S08000026,Head & Neck,2,2,11,0
2014Q4,S08000026,Lung,2,2,11,0
2014Q4,S08000026,Melanoma,6,6,11,0
2014Q4,S08000026,Upper GI,4,4,11,0
2014Q4,S08000026,Urological,6,6,11,0
2014Q4,S08000028,Colorectal,12,12,11,0
2014Q4,S08000028,Lung,10,10,11,0
2014Q4,S08000028,Upper GI,14,14,11,0
2014Q4,S08000029,Breast,84,84,11,0
2014Q4,S08000029,Cervical,14,14,11,0
2014Q4,S08000029,Colorectal,114,114,11,0
2014Q4,S08000029,Head & Neck,34,32,11,0
2014Q4,S08000029,Lung,118,116,11,0
2014Q4,S08000029,Lymphoma,52,52,11,0
2014Q4,S08000029,Melanoma,24,22,11,0
2014Q4,S08000029,Ovarian,20,18,11,0
2014Q4,S08000029,Upper GI,64,64,11,0
2014Q4,S08000029,Urological,130,110,11,0
2014Q4,S08000030,Breast,230,228,11,0
2014Q4,S08000030,Cervical,22,18,11,0
2014Q4,S08000030,Colorectal,170,170,11,0
2014Q4,S08000030,Head & Neck,28,26,11,0
2014Q4,S08000030,Lung,152,150,11,0
2014Q4,S08000030,Melanoma,94,88,11,0
2014Q4,S08000030,Upper GI,118,118,11,0
2014Q4,S08000030,Urological,246,224,11,0
2014Q4,S08000031,Breast,716,700,11,0
2014Q4,S08000031,Cervical,36,36,11,0
2014Q4,S08000031,Colorectal,358,352,11,0
2014Q4,S08000031,Head & Neck,170,164,11,0
2014Q4,S08000031,Lung,564,564,11,0
2014Q4,S08000031,Lymphoma,134,134,11,0
2014Q4,S08000031,Melanoma,154,154,11,0
2014Q4,S08000031,Ovarian,40,40,11,0
2014Q4,S08000031,Upper GI,234,228,11,0
2014Q4,S08000031,Urological,574,516,11,0
2014Q4,S08000032,Breast,174,174,11,0
2014Q4,S08000032,Cervical,18,18,11,0
2014Q4,S08000032,Colorectal,160,160,11,0
2014Q4,S08000032,Head & Neck,56,56,11,0
2014Q4,S08000032,Lung,198,198,11,0
2014Q4,S08000032,Lymphoma,36,36,11,0
2014Q4,S08000032,Melanoma,66,66,11,0
2014Q4,S08000032,Ovarian,36,36,11,0
2014Q4,S08000032,Upper GI,88,88,11,0
2014Q4,S08000032,Urological,240,226,11,0
2015Q1,S08000015,Breast,216,216,12,0
2015Q1,S08000015,Cervical,16,16,12,0
2015Q1,S08000015,Colorectal,118,114,12,0
2015Q1,S08000015,Head & Neck,38,38,12,0
2015Q1,S08000015,Lung,148,148,12,0
2015Q1,S08000015,Lymphoma,50,50,12,0
2015Q1,S08000015,Melanoma,60,60,12,0
2015Q1,S08000015,Ovarian,24,24,12,0
2015Q1,S08000015,Upper GI,90,90,12,0
2015Q1,S08000015,Urological,166,164,12,0
2015Q1,S08000016,Breast,30,30,12,0
2015Q1,S08000016,Colorectal,56,54,12,0
2015Q1,S08000016,Head & Neck,12,12,12,0
2015Q1,S08000016,Lung,24,24,12,0
2015Q1,S08000016,Lymphoma,12,12,12,0
2015Q1,S08000016,Melanoma,12,10,12,0
2015Q1,S08000016,Ovarian,4,4,12,0
2015Q1,S08000016,Upper GI,32,32,12,0
2015Q1,S08000016,Urological,58,52,12,0
2015Q1,S08000017,Breast,48,48,12,0
2015Q1,S08000017,Cervical,2,2,12,0
2015Q1,S08000017,Colorectal,58,58,12,0
2015Q1,S08000017,Head & Neck,16,16,12,0
2015Q1,S08000017,Lung,76,76,12,0
2015Q1,S08000017,Lymphoma,24,24,12,0
2015Q1,S08000017,Melanoma,16,16,12,0
2015Q1,S08000017,Ovarian,10,10,12,0
2015Q1,S08000017,Upper GI,34,32,12,0
2015Q1,S08000017,Urological,78,62,12,0
2015Q1,S08000019,Breast,76,66,12,0
2015Q1,S08000019,Cervical,14,14,12,0
2015Q1,S08000019,Colorectal,78,76,12,0
2015Q1,S08000019,Head & Neck,34,34,12,0
2015Q1,S08000019,Lung,102,102,12,0
2015Q1,S08000019,Lymphoma,26,26,12,0
2015Q1,S08000019,Melanoma,32,32,12,0
2015Q1,S08000019,Ovarian,10,10,12,0
2015Q1,S08000019,Upper GI,72,72,12,0
2015Q1,S08000019,Urological,148,146,12,0
2015Q1,S08000020,Breast,176,176,12,0
2015Q1,S08000020,Cervical,10,10,12,0
2015Q1,S08000020,Colorectal,148,148,12,0
2015Q1,S08000020,Head & Neck,58,56,12,0
2015Q1,S08000020,Lung,158,156,12,0
2015Q1,S08000020,Lymphoma,70,68,12,0
2015Q1,S08000020,Melanoma,56,56,12,0
2015Q1,S08000020,Ovarian,24,24,12,0
2015Q1,S08000020,Upper GI,144,142,12,0
2015Q1,S08000020,Urological,266,224,12,0
2015Q1,S08000022,Breast,138,130,12,0
2015Q1,S08000022,Cervical,2,2,12,0
2015Q1,S08000022,Colorectal,80,80,12,0
2015Q1,S08000022,Head & Neck,34,30,12,0
2015Q1,S08000022,Lung,90,88,12,0
2015Q1,S08000022,Lymphoma,22,22,12,0
2015Q1,S08000022,Melanoma,24,24,12,0
2015Q1,S08000022,Ovarian,18,18,12,0
2015Q1,S08000022,Upper GI,54,54,12,0
2015Q1,S08000022,Urological,156,138,12,0
2015Q1,S08000024,Breast,466,466,12,0
2015Q1,S08000024,Cervical,56,56,12,0
2015Q1,S08000024,Colorectal,156,142,12,0
2015Q1,S08000024,Head & Neck,82,82,12,0
2015Q1,S08000024,Lung,308,308,12,0
2015Q1,S08000024,Lymphoma,82,82,12,0
2015Q1,S08000024,Melanoma,90,90,12,0
2015Q1,S08000024,Ovarian,18,18,12,0
2015Q1,S08000024,Upper GI,92,92,12,0
2015Q1,S08000024,Urological,262,222,12,0
2015Q1,S08000025,Breast,2,2,12,0
2015Q1,S08000025,Colorectal,4,4,12,0
2015Q1,S08000026,Breast,8,8,12,0
2015Q1,S08000026,Colorectal,4,4,12,0
2015Q1,S08000026,Head & Neck,2,2,12,0
2015Q1,S08000026,Lung,4,4,12,0
2015Q1,S08000026,Melanoma,2,2,12,0
2015Q1,S08000026,Upper GI,8,8,12,0
2015Q1,S08000026,Urological,10,10,12,0
2015Q1,S08000028,Breast,2,2,12,0
2015Q1,S08000028,Cervical,2,2,12,0
2015Q1,S08000028,Colorectal,6,6,12,0
2015Q1,S08000028,Head & Neck,4,4,12,0
2015Q1,S08000028,Lung,10,10,12,0
2015Q1,S08000028,Lymphoma,2,2,12,0
2015Q1,S08000028,Upper GI,8,8,12,0
2015Q1,S08000029,Breast,100,98,12,0
2015Q1,S08000029,Cervical,8,6,12,0
2015Q1,S08000029,Colorectal,80,80,12,0
2015Q1,S08000029,Head & Neck,24,24,12,0
2015Q1,S08000029,Lung,170,168,12,0
2015Q1,S08000029,Lymphoma,46,46,12,0
2015Q1,S08000029,Melanoma,30,26,12,0
2015Q1,S08000029,Ovarian,10,10,12,0
2015Q1,S08000029,Upper GI,66,64,12,0
2015Q1,S08000029,Urological,162,138,12,0
2015Q1,S08000030,Breast,182,180,12,0
2015Q1,S08000030,Cervical,20,16,12,0
2015Q1,S08000030,Colorectal,136,134,12,0
2015Q1,S08000030,Head & Neck,40,34,12,0
2015Q1,S08000030,Lung,154,150,12,0
2015Q1,S08000030,Lymphoma,34,34,12,0
2015Q1,S08000030,Melanoma,52,48,12,0
2015Q1,S08000030,Ovarian,8,8,12,0
2015Q1,S08000030,Upper GI,138,138,12,0
2015Q1,S08000030,Urological,214,188,12,0
2015Q1,S08000031,Breast,714,684,12,0
2015Q1,S08000031,Cervical,22,22,12,0
2015Q1,S08000031,Colorectal,374,370,12,0
2015Q1,S08000031,Head & Neck,170,166,12,0
2015Q1,S08000031,Lung,634,630,12,0
2015Q1,S08000031,Lymphoma,166,166,12,0
2015Q1,S08000031,Melanoma,114,114,12,0
2015Q1,S08000031,Ovarian,38,38,12,0
2015Q1,S08000031,Upper GI,266,266,12,0
2015Q1,S08000031,Urological,588,526,12,0
2015Q1,S08000032,Breast,154,140,12,0
2015Q1,S08000032,Cervical,10,10,12,0
2015Q1,S08000032,Colorectal,150,150,12,0
2015Q1,S08000032,Head & Neck,60,60,12,0
2015Q1,S08000032,Lung,232,230,12,0
2015Q1,S08000032,Lymphoma,60,60,12,0
2015Q1,S08000032,Melanoma,46,44,12,0
2015Q1,S08000032,Ovarian,22,22,12,0
2015Q1,S08000032,Upper GI,70,70,12,0
2015Q1,S08000032,Urological,186,170,12,0
2015Q2,S08000015,Breast,198,194,13,0
2015Q2,S08000015,Cervical,16,16,13,0
2015Q2,S08000015,Colorectal,140,136,13,0
2015Q2,S08000015,Head & Neck,64,64,13,0
2015Q2,S08000015,Lung,130,130,13,0
2015Q2,S08000015,Lymphoma,26,26,13,0
2015Q2,S08000015,Melanoma,42,42,13,0
2015Q2,S08000015,Ovarian,18,18,13,0
2015Q2,S08000015,Upper GI,74,72,13,0
2015Q2,S08000015,Urological,208,206,13,0
2015Q2,S08000016,Breast,14,14,13,0
2015Q2,S08000016,Colorectal,44,44,13,0
2015Q2,S08000016,Head & Neck,10,10,13,0
2015Q2,S08000016,Lung,40,40,13,0
2015Q2,S08000016,Lymphoma,16,16,13,0
2015Q2,S08000016,Melanoma,24,24,13,0
2015Q2,S08000016,Ovarian,12,12,13,0
2015Q2,S08000016,Upper GI,32,32,13,0
2015Q2,S08000016,Urological,62,58,13,0
2015Q2,S08000017,Breast,38,38,13,0
2015Q2,S08000017,Cervical,6,6,13,0
2015Q2,S08000017,Colorectal,58,58,13,0
2015Q2,S08000017,Head & Neck,18,18,13,0
2015Q2,S08000017,Lung,50,50,13,0
2015Q2,S08000017,Lymphoma,18,18,13,0
2015Q2,S08000017,Melanoma,26,26,13,0
2015Q2,S08000017,Ovarian,10,8,13,0
2015Q2,S08000017,Upper GI,36,36,13,0
2015Q2,S08000017,Urological,92,78,13,0
2015Q2,S08000019,Breast,92,92,13,0
2015Q2,S08000019,Cervical,8,8,13,0
2015Q2,S08000019,Colorectal,98,96,13,0
2015Q2,S08000019,Head & Neck,26,26,13,0
2015Q2,S08000019,Lung,100,100,13,0
2015Q2,S08000019,Lymphoma,36,36,13,0
2015Q2,S08000019,Melanoma,42,40,13,0
2015Q2,S08000019,Ovarian,10,10,13,0
2015Q2,S08000019,Upper GI,60,58,13,0
2015Q2,S08000019,Urological,158,156,13,0
2015Q2,S08000020,Breast,236,228,13,0
2015Q2,S08000020,Cervical,26,24,13,0
2015Q2,S08000020,Colorectal,156,148,13,0
2015Q2,S08000020,Head & Neck,42,40,13,0
2015Q2,S08000020,Lung,178,178,13,0
2015Q2,S08000020,Lymphoma,78,72,13,0
2015Q2,S08000020,Melanoma,84,82,13,0
2015Q2,S08000020,Ovarian,26,24,13,0
2015Q2,S08000020,Upper GI,118,116,13,0
2015Q2,S08000020,Urological,270,218,13,0
2015Q2,S08000022,Breast,128,122,13,0
2015Q2,S08000022,Cervical,4,4,13,0
2015Q2,S08000022,Colorectal,112,108,13,0
2015Q2,S08000022,Head & Neck,18,18,13,0
2015Q2,S08000022,Lung,76,74,13,0
2015Q2,S08000022,Lymphoma,20,20,13,0
2015Q2,S08000022,Melanoma,22,22,13,0
2015Q2,S08000022,Ovarian,18,18,13,0
2015Q2,S08000022,Upper GI,98,96,13,0
2015Q2,S08000022,Urological,118,96,13,0
2015Q2,S08000024,Breast,492,492,13,0
2015Q2,S08000024,Cervical,28,28,13,0
2015Q2,S08000024,Colorectal,180,168,13,0
2015Q2,S08000024,Head & Neck,88,88,13,0
2015Q2,S08000024,Lung,250,250,13,0
2015Q2,S08000024,Lymphoma,90,90,13,0
2015Q2,S08000024,Melanoma,108,108,13,0
2015Q2,S08000024,Ovarian,28,28,13,0
2015Q2,S08000024,Upper GI,100,98,13,0
2015Q2,S08000024,Urological,298,266,13,0
2015Q2,S08000025,Breast,2,2,13,0
2015Q2,S08000025,Colorectal,8,8,13,0
2015Q2,S08000025,Lung,2,2,13,0
2015Q2,S08000025,Lymphoma,2,2,13,0
2015Q2,S08000025,Upper GI,2,2,13,0
2015Q2,S08000026,Breast,8,8,13,0
2015Q2,S08000026,Lung,2,2,13,0
2015Q2,S08000026,Lymphoma,2,2,13,0
2015Q2,S08000026,Melanoma,8,8,13,0
2015Q2,S08000026,Ovarian,2,2,13,0
2015Q2,S08000026,Upper GI,4,4,13,0
2015Q2,S08000026,Urological,8,8,13,0
2015Q2,S08000028,Colorectal,6,4,13,0
2015Q2,S08000028,Head & Neck,8,6,13,0
2015Q2,S08000028,Lung,16,16,13,0
2015Q2,S08000028,Melanoma,4,4,13,0
2015Q2,S08000028,Ovarian,4,4,13,0
2015Q2,S08000028,Upper GI,8,8,13,0
2015Q2,S08000028,Urological,2,2,13,0
2015Q2,S08000029,Breast,62,62,13,0
2015Q2,S08000029,Cervical,8,8,13,0
2015Q2,S08000029,Colorectal,100,100,13,0
2015Q2,S08000029,Head & Neck,32,32,13,0
2015Q2,S08000029,Lung,146,146,13,0
2015Q2,S08000029,Lymphoma,34,34,13,0
2015Q2,S08000029,Melanoma,26,24,13,0
2015Q2,S08000029,Ovarian,16,16,13,0
2015Q2,S08000029,Upper GI,54,54,13,0
2015Q2,S08000029,Urological,160,150,13,0
2015Q2,S08000030,Breast,200,198,13,0
2015Q2,S08000030,Cervical,14,14,13,0
2015Q2,S08000030,Colorectal,140,140,13,0
2015Q2,S08000030,Head & Neck,56,50,13,0
2015Q2,S08000030,Lung,172,162,13,0
2015Q2,S08000030,Lymphoma,38,38,13,0
2015Q2,S08000030,Melanoma,74,74,13,0
2015Q2,S08000030,Ovarian,10,10,13,0
2015Q2,S08000030,Upper GI,110,110,13,0
2015Q2,S08000030,Urological,214,196,13,0
2015Q2,S08000031,Breast,598,552,13,0
2015Q2,S08000031,Cervical,26,26,13,0
2015Q2,S08000031,Colorectal,364,360,13,0
2015Q2,S08000031,Head & Neck,180,172,13,0
2015Q2,S08000031,Lung,642,636,13,0
2015Q2,S08000031,Lymphoma,116,116,13,0
2015Q2,S08000031,Melanoma,172,172,13,0
2015Q2,S08000031,Ovarian,58,58,13,0
2015Q2,S08000031,Upper GI,250,242,13,0
2015Q2,S08000031,Urological,540,480,13,0
2015Q2,S08000032,Breast,146,144,13,0
2015Q2,S08000032,Cervical,20,20,13,0
2015Q2,S08000032,Colorectal,136,134,13,0
2015Q2,S08000032,Head & Neck,56,56,13,0
2015Q2,S08000032,Lung,220,220,13,0
2015Q2,S08000032,Lymphoma,34,34,13,0
2015Q2,S08000032,Melanoma,62,60,13,0
2015Q2,S08000032,Ovarian,26,26,13,0
2015Q2,S08000032,Upper GI,106,106,13,0
2015Q2,S08000032,Urological,198,176,13,0
2015Q3,S08000015,Breast,166,166,14,0
2015Q3,S08000015,Cervical,10,10,14,0
2015Q3,S08000015,Colorectal,114,112,14,0
2015Q3,S08000015,Head & Neck,34,34,14,0
2015Q3,S08000015,Lung,134,134,14,0
2015Q3,S08000015,Lymphoma,42,42,14,0
2015Q3,S08000015,Melanoma,54,54,14,0
2015Q3,S08000015,Ovarian,30,30,14,0
2015Q3,S08000015,Upper GI,106,104,14,0
2015Q3,S08000015,Urological,174,170,14,0
2015Q3,S08000016,Breast,36,36,14,0
2015Q3,S08000016,Colorectal,34,34,14,0
2015Q3,S08000016,Head & Neck,10,10,14,0
2015Q3,S08000016,Lung,44,44,14,0
2015Q3,S08000016,Lymphoma,16,16,14,0
2015Q3,S08000016,Melanoma,10,10,14,0
2015Q3,S08000016,Ovarian,2,2,14,0
2015Q3,S08000016,Upper GI,36,36,14,0
2015Q3,S08000016,Urological,36,32,14,0
2015Q3,S08000017,Breast,52,52,14,0
2015Q3,S08000017,Cervical,2,2,14,0
2015Q3,S08000017,Colorectal,50,46,14,0
2015Q3,S08000017,Head & Neck,14,14,14,0
2015Q3,S08000017,Lung,62,62,14,0
2015Q3,S08000017,Lymphoma,20,20,14,0
2015Q3,S08000017,Melanoma,12,12,14,0
2015Q3,S08000017,Ovarian,2,2,14,0
2015Q3,S08000017,Upper GI,58,58,14,0
2015Q3,S08000017,Urological,98,86,14,0
2015Q3,S08000019,Breast,64,62,14,0
2015Q3,S08000019,Cervical,2,2,14,0
2015Q3,S08000019,Colorectal,78,78,14,0
2015Q3,S08000019,Head & Neck,38,32,14,0
2015Q3,S08000019,Lung,80,80,14,0
2015Q3,S08000019,Lymphoma,36,36,14,0
2015Q3,S08000019,Melanoma,26,24,14,0
2015Q3,S08000019,Ovarian,4,4,14,0
2015Q3,S08000019,Upper GI,76,76,14,0
2015Q3,S08000019,Urological,150,150,14,0
2015Q3,S08000020,Breast,260,242,14,0
2015Q3,S08000020,Cervical,22,20,14,0
2015Q3,S08000020,Colorectal,168,164,14,0
